proto,proto_name
17,UDP
17,UDP
17,UDP
6,TCP
17,UDP
17,UDP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
2,IGMP
17,UDP
2,IGMP
17,UDP
17,UDP
2,IGMP
17,UDP
17,UDP
2,IGMP
2,IGMP
2,IGMP
17,UDP
2,IGMP
17,UDP
6,TCP
17,UDP
6,TCP
6,TCP
17,UDP
17,UDP
6,TCP
17,UDP
2,IGMP
2,IGMP
2,IGMP
2,IGMP
17,UDP
6,TCP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
6,TCP
17,UDP
17,UDP
6,TCP
6,TCP
17,UDP
17,UDP
2,IGMP
17,UDP
17,UDP
6,TCP
17,UDP
17,UDP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
17,UDP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
17,UDP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
17,UDP
6,TCP
6,TCP
17,UDP
17,UDP
17,UDP
6,TCP
17,UDP
6,TCP
17,UDP
17,UDP
6,TCP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
17,UDP
17,UDP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
6,TCP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
6,TCP
17,UDP
6,TCP
6,TCP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
17,UDP
